date,算数,国語,理科,社会,総合,学校の宿題,塾合計
2023-04-30,127,32,35,20,,,214.0
2023-05-01,91,,94,,,17,185.0
2023-05-02,162,31,,29,,12,222.0
2023-05-03,129,,,84,,,213.0
2023-05-04,74,,35,,,,109.0
2023-05-05,126,,113,,,,239.0
2023-05-06,147,,27,24,,,198.0
2023-05-07,36,,29,32,,,97.0
2023-05-08,71,,,,,6,71.0
2023-05-09,40,,,,,8,40.0
2023-05-10,21,,,,,60,21.0
2023-05-11,12,,,,,,12.0
2023-05-12,12,,,,,,12.0
2023-05-13,65,,,,,,65.0
2023-05-15,,,,,,19,0.0
2023-05-16,16,31,,,,9,47.0
2023-05-17,69,17,,31,,0,117.0
2023-05-18,,,39,,,,39.0
2023-05-19,20,,56,46,,18,122.0
2023-05-20,54,60,57,67,,,238.0
2023-05-22,8,18,8,13,,,47.0
2023-05-23,20,,,30,,,50.0
2023-05-24,67,24,8,43,,4,142.0
2023-05-25,31,,,4,,17,35.0
2023-05-26,,,11,28,,,39.0
2023-05-27,39,,30,31,,,100.0
2023-05-28,,29,115,,,,144.0
2023-05-29,26,,48,9,,,83.0
2023-05-31,,92,167,28,,13,287.0
2023-06-01,125,,37,24,,14,186.0
2023-06-02,50,,21,2,,20,73.0
2023-06-03,51,,41,18,,,110.0
2023-06-04,5,18,125,26,,,174.0
2023-06-05,109,,15,34,,13,158.0
2023-06-06,40,12,47,57,,10,156.0
2023-06-07,66,,50,,,13,116.0
2023-06-08,29,23,102,35,,,189.0
2023-06-09,69,,11,17,,7,97.0
2023-06-10,95,,107,,,,202.0
2023-06-12,,,,,20,,20.0
2023-06-13,,,,4,,,4.0
2023-06-14,,,81,20,,9,101.0
2023-06-15,,24,,30,,19,54.0
2023-06-16,3,,,37,110,,150.0
2023-06-17,21,22,10,23,,,76.0
2023-06-19,,,41,,,,41.0
2023-06-20,30,8,32,,,,70.0
2023-06-21,13,21,,85,,21,119.0
2023-06-22,,,,61,,,61.0
2023-06-23,17,,7,42,,,66.0
2023-06-24,138,27,11,8,,,184.0
2023-06-25,70,,,,,,70.0
2023-06-26,91,,,,,52,91.0
2023-06-27,,,107,,,,107.0
2023-06-28,,31,20,69,39,,159.0
2023-06-29,33,,,,,16,33.0
2023-06-30,,,92,,90,,182.0
2023-07-01,135,66,42,14,,,257.0
2023-07-02,24,,,,,,24.0
2023-07-03,42,,,66,,13,108.0
2023-07-04,,34,,,,31,34.0
2023-07-05,,59,51,,128,,238.0
2023-07-06,38,,,,,,38.0
